 "csubject" , "cnumber" , "cname" , "cdescription" ,
 "PSYC" , "315" , "Statistical Analysis I" , "Laboratory" ,
 "ARTX" , "380" , "Intermediate Integrated Studio in Contemporary Art Practices" , "Studio course" ,
 "WSDB" , "292" , "Feminisms and Research Methods" , "Practical, hands-on exercises" ,
 "COMS" , "274" , "Communication Media: Intermedia I" , "Practicum course" ,
 "JOUR" , "532" , "Documentary Video and Radio" , "Workshop" ,
 "COMP" , "6771" , "Image Processing" , "Laboratory: 24 hours total, project" ,
 "MECH" , "6531" , "Casting" , "A project on current research topic and selected applications is required" ,
 "GERM" , "490" , "Honours Essay Tutorial" , "Extensive research essay" ,
 "GEOG" , "435" , "Transportation Impact Assessment" , "Laboratory" ,
 "ELEC" , "425" , "Optical Devices for High-Speed Communications" , "Laboratory: 15 hours total" ,
 "PHYS" , "637" , "Condensed Matter Physics II" , "Individual project" ,
 "MARK" , "453" , "Marketing Communications" , "Cases, simulations" ,
 "BIOL" , "330" , "Vertebrate Biology" , "Laboratory" ,
 "COMP" , "442" , "Compiler Design" , "Laboratory: 24 hours total, project" ,
 "ETEC" , "550" , "Fundamentals of Instructional Design" , "Real-world project" ,
 "BLDG" , "366" , "Acoustics and Lighting" , "Laboratory: 2 hours per week, alternate weeks" ,
 "MECH" , "6571" , "Corrosion and Oxidation of Metals" , "A project on current research topics and selected applications is required" ,
 "CIVI" , "6381" , "Hydraulic Structures" , "A project is required" ,
 "CIVI" , "6501" , "Foundation Engineering" , "A project is required" ,
 "GEOG" , "467" , "Environmental Modelling" , "Laboratory" ,
 "ENCS" , "282" , "Technical Communication" , "Course-integrated project; Simulations; Case Studies" ,
 "EDUC" , "295" , "Internship I: Prekindergarten Teaching" , "Students are placed in a prekindergarten class one day a week for a total of 60 hours" ,
 "THEO" , "243" , "Indigenous Spirituality" , "Group fieldwork" ,
 "ELEC" , "433" , "Power Electronics" , "Laboratory: 15 hours total" ,
 "ELEC" , "472" , "Advanced Telecommunication Network" , "Laboratory: 15 hours total" ,
 "INSE" , "6670" , "Embedded Systems Security" , "A project is required" ,
 "ELEC" , "6301" , "Advanced Electromagnetics" , "A project is required" ,
 "APLI" , "610" , "Teaching and Learning Second Language Vocabulary" , "Students complete projects that has direct social impact: 1) a vocabulary language task for social justice education, which they can apply in their own teaching; 2) a digital presentation in which they demonstrate how to use computer tools to teach vocabulary, which is made available online for the community; 3) a research paper or a professional magazine article which studnets are encourage to submit for publication" ,
 "MECH" , "7101" , "Convection Heat Transfer" , "Project or term paper required" ,
 "ENCS" , "6721" , "Technical Writing and Research Methods for Engineers and Computer Scientists" , "Major research project" ,
 "ACCO" , "495" , "Honours seminar in accountancy" , "Training or write a case" ,
 "ENGR" , "307" , "Engineering Industrial Experience Work Term III" , "Industrial experience work term" ,
 "COMP" , "6721" , "Introduction to Artificial Intelligence" , "Laboratory: 24 hours total, project" ,
 "FTRA" , "612" , "Traduction avancée en sciences humaines et sociales Co-listé : FTRA 542 ou FTRA 543" , "séminaire pratique" ,
 "IRST" , "390" , "Field Studies in Ireland" , "Enrich learning experience in Ireland" ,
 "INSE" , "6210" , "Total Quality Methodologies in Engineering" , "A project is required" ,
 "CHEM" , "335" , "Biophysical Chemistry" , "Laboratory" ,
 "ACTU" , "286" , "Actuarial Mathematics Lab I" , "Lab" ,
 "ENGL" , "416" , "The Solo Play" , "Workshop, by the end of the course, the student will have completed a 40- to 60-minute solo piece" ,
 "GEOG" , "371" , "Landscape Ecology" , "Laboratory" ,
 "BLDG" , "6741" , "HVAC Control Systems" , "A project is required" ,
 "FRAN" , "212" , "French Language: Transitional Level" , "French for language learners. Laboratory sessions" ,
 "CIVI" , "6711" , "Asset Management for Sustainable Civil Infrastructure" , "A project is required" ,
 "COEN" , "445" , "Communication Networks and Protocols" , "Laboratory: 15 hours total" ,
 "AHSC" , "360" , "Play, Adult Learning and Development" , "Design and implement play based simulations appropriate for various levels according to life stage development. Moot programs in class with peer groups" ,
 "PHYS" , "665" , "Principles of Medical Imaging" , "Individual project" ,
 "COEN" , "315" , "Digital Electronics" , "Laboratory: 15 hours total" ,
 "FTRA" , "683" , "Tutorial in translation" , "tutorial" ,
 "ELEC" , "481" , "Linear Systems" , "Laboratory: 15 hours total" ,
 "ENGR" , "207" , "Engineering Industrial Experience Work Term II" , "Industrial experience work term" ,
 "AHSC" , "510" , "Advanced Research Methods in Youth Work" , "Applied research project" ,
 "AHSC" , "456" , "Advanced Family Life Education" , "Fieldwork, 1 hour per week of observation in a family life education setting" ,
 "COEN" , "346" , "Operating Systems" , "Laboratory: 15 hours total" ,
 "CIVI" , "6461" , "Pavement Management Systems" , "A project is required" ,
 "EXCI" , "259" , "Human Physiology II: Cardiovascular and Respiratory Systems: From Rest to Exercise" , "Laboratory" ,
 "CHEM" , "451" , "Nanochemistry" , "Term project carried out using the nanoscience facilities held in the Department research labs" ,
 "INSE" , "6250" , "Quality Methodologies for Software" , "A project is required" ,
 "TESL" , "231" , "Modern English Grammar" , "Practical teaching assignments based on ESL speech and writing samples" ,
