 "csubject" , "cnumber" , "cname" , "cdepartment" ,
 "PSYC" , "315" , "Statistical Analysis I" , "Psychology" ,
 "ARTX" , "380" , "Intermediate Integrated Studio in Contemporary Art Practices" , "Studio Arts" ,
 "WSDB" , "292" , "Feminisms and Research Methods" , "Simone de Beauvoir Institute" ,
 "COMS" , "274" , "Communication Media: Intermedia I" , "Communication Studies" ,
 "JOUR" , "532" , "Documentary Video and Radio" , "Journalism" ,
 "COMP" , "6771" , "Image Processing" , "Computer Science and Software Engineering (CSSE)" ,
 "MECH" , "6531" , "Casting" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "GERM" , "490" , "Honours Essay Tutorial" , "Classics, Modern Languages and Linguistics" ,
 "GEOG" , "435" , "Transportation Impact Assessment" , "Geography, Planning and Environment" ,
 "ELEC" , "425" , "Optical Devices for High-Speed Communications" , "Electrical and Computer Engineering (ECE)" ,
 "PHYS" , "637" , "Condensed Matter Physics II" , "Physics" ,
 "MARK" , "453" , "Marketing Communications" , "Marketing" ,
 "BIOL" , "330" , "Vertebrate Biology" , "Biology" ,
 "COMP" , "442" , "Compiler Design" , "Computer Science and Software Engineering (CSSE)" ,
 "ETEC" , "550" , "Fundamentals of Instructional Design" , "Education" ,
 "BLDG" , "366" , "Acoustics and Lighting" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "MECH" , "6571" , "Corrosion and Oxidation of Metals" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "CIVI" , "6381" , "Hydraulic Structures" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "CIVI" , "6501" , "Foundation Engineering" , "Building, Civil and Environmental Engineering (BCEE)" ,
 "GEOG" , "467" , "Environmental Modelling" , "Geography, Planning and Environment" ,
 "ENCS" , "282" , "Technical Communication" , "Centre for Engineering in Society" ,
 "EDUC" , "295" , "Internship I: Prekindergarten Teaching" , "Education" ,
 "THEO" , "243" , "Indigenous Spirituality" , "Theological Studies" ,
 "ELEC" , "433" , "Power Electronics" , "Electrical and Computer Engineering (ECE)" ,
 "ELEC" , "472" , "Advanced Telecommunication Network" , "Electrical and Computer Engineering (ECE)" ,
 "INSE" , "6670" , "Embedded Systems Security" , "Concordia Institute for Information Systems Engineering (CIISE)" ,
 "ELEC" , "6301" , "Advanced Electromagnetics" , "Electrical and Computer Engineering (ECE)" ,
 "APLI" , "610" , "Teaching and Learning Second Language Vocabulary" , "Education" ,
 "MECH" , "7101" , "Convection Heat Transfer" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
 "ENCS" , "6721" , "Technical Writing and Research Methods for Engineers and Computer Scientists" , "Centre for Engineering in Society (CES)" ,
 "ACCO" , "495" , "Honours seminar in accountancy" , "Accountancy" ,
 "ENGR" , "307" , "Engineering Industrial Experience Work Term III" , "Mechanical, Industrial and Aerospace Engineering (MIAE)" ,
