 "csubject" , "cnumber" , "cname" , "component" ,
 "PSYC" , "315" , "Statistical Analysis I" , "http://acad.io/schema#Lecture" ,
 "PSYC" , "315" , "Statistical Analysis I" , "http://acad.io/schema#Lab" ,
 "ARTX" , "380" , "Intermediate Integrated Studio in Contemporary Art Practices" , "http://acad.io/schema#Studio" ,
 "WSDB" , "292" , "Feminisms and Research Methods" , "http://acad.io/schema#Lecture" ,
 "COMS" , "274" , "Communication Media: Intermedia I" , "http://acad.io/schema#Lecture" ,
 "COMS" , "274" , "Communication Media: Intermedia I" , "http://acad.io/schema#Lab" ,
 "COMP" , "6771" , "Image Processing" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6771" , "Image Processing" , "http://acad.io/schema#Lab" ,
 "MECH" , "6531" , "Casting" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "425" , "Optical Devices for High-Speed Communications" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "425" , "Optical Devices for High-Speed Communications" , "http://acad.io/schema#Lab" ,
 "PHYS" , "637" , "Condensed Matter Physics II" , "http://acad.io/schema#Lecture" ,
 "MARK" , "453" , "Marketing Communications" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "330" , "Vertebrate Biology" , "http://acad.io/schema#Lecture" ,
 "BIOL" , "330" , "Vertebrate Biology" , "http://acad.io/schema#Lab" ,
 "COMP" , "442" , "Compiler Design" , "http://acad.io/schema#Lecture" ,
 "COMP" , "442" , "Compiler Design" , "http://acad.io/schema#Lab" ,
 "ETEC" , "550" , "Fundamentals of Instructional Design" , "http://acad.io/schema#Lecture" ,
 "ETEC" , "550" , "Fundamentals of Instructional Design" , "http://acad.io/schema#Lab" ,
 "BLDG" , "366" , "Acoustics and Lighting" , "http://acad.io/schema#Lecture" ,
 "BLDG" , "366" , "Acoustics and Lighting" , "http://acad.io/schema#Tutorial" ,
 "BLDG" , "366" , "Acoustics and Lighting" , "http://acad.io/schema#Lab" ,
 "MECH" , "6571" , "Corrosion and Oxidation of Metals" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6381" , "Hydraulic Structures" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6501" , "Foundation Engineering" , "http://acad.io/schema#Lecture" ,
 "GEOG" , "467" , "Environmental Modelling" , "http://acad.io/schema#Lecture" ,
 "GEOG" , "467" , "Environmental Modelling" , "http://acad.io/schema#Lab" ,
 "ENCS" , "282" , "Technical Communication" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "282" , "Technical Communication" , "http://acad.io/schema#Tutorial" ,
 "EDUC" , "295" , "Internship I: Prekindergarten Teaching" , "http://acad.io/schema#Lecture" ,
 "THEO" , "243" , "Indigenous Spirituality" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "433" , "Power Electronics" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "433" , "Power Electronics" , "http://acad.io/schema#Lab" ,
 "ELEC" , "472" , "Advanced Telecommunication Network" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "472" , "Advanced Telecommunication Network" , "http://acad.io/schema#Lab" ,
 "INSE" , "6670" , "Embedded Systems Security" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "6301" , "Advanced Electromagnetics" , "http://acad.io/schema#Lecture" ,
 "APLI" , "610" , "Teaching and Learning Second Language Vocabulary" , "http://acad.io/schema#Lecture" ,
 "MECH" , "7101" , "Convection Heat Transfer" , "http://acad.io/schema#Lecture" ,
 "ENCS" , "6721" , "Technical Writing and Research Methods for Engineers and Computer Scientists" , "http://acad.io/schema#Lecture" ,
 "ACCO" , "495" , "Honours seminar in accountancy" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6721" , "Introduction to Artificial Intelligence" , "http://acad.io/schema#Lecture" ,
 "COMP" , "6721" , "Introduction to Artificial Intelligence" , "http://acad.io/schema#Lab" ,
 "INSE" , "6210" , "Total Quality Methodologies in Engineering" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "335" , "Biophysical Chemistry" , "http://acad.io/schema#Lecture" ,
 "CHEM" , "335" , "Biophysical Chemistry" , "http://acad.io/schema#Lab" ,
 "ACTU" , "286" , "Actuarial Mathematics Lab I" , "http://acad.io/schema#Lecture" ,
 "ENGL" , "416" , "The Solo Play" , "http://acad.io/schema#Lecture" ,
 "GEOG" , "371" , "Landscape Ecology" , "http://acad.io/schema#Lecture" ,
 "FRAN" , "212" , "French Language: Transitional Level" , "http://acad.io/schema#Lecture" ,
 "CIVI" , "6711" , "Asset Management for Sustainable Civil Infrastructure" , "http://acad.io/schema#Lecture" ,
 "COEN" , "445" , "Communication Networks and Protocols" , "http://acad.io/schema#Lecture" ,
 "COEN" , "445" , "Communication Networks and Protocols" , "http://acad.io/schema#Lab" ,
 "AHSC" , "360" , "Play, Adult Learning and Development" , "http://acad.io/schema#Lecture" ,
 "PHYS" , "665" , "Principles of Medical Imaging" , "http://acad.io/schema#Lecture" ,
 "COEN" , "315" , "Digital Electronics" , "http://acad.io/schema#Lecture" ,
 "COEN" , "315" , "Digital Electronics" , "http://acad.io/schema#Tutorial" ,
 "COEN" , "315" , "Digital Electronics" , "http://acad.io/schema#Lab" ,
 "FTRA" , "683" , "Tutorial in translation" , "http://acad.io/schema#Tutorial" ,
 "ELEC" , "481" , "Linear Systems" , "http://acad.io/schema#Lecture" ,
 "ELEC" , "481" , "Linear Systems" , "http://acad.io/schema#Lab" ,
 "AHSC" , "510" , "Advanced Research Methods in Youth Work" , "http://acad.io/schema#Lecture" ,
