 "cname" , "component" ,
 "Intelligent Systems" , "http://acad.io/data#COMP474-LEC7" ,
 "Intelligent Systems" , "http://acad.io/data#COMP474-LEC8" ,
 "Intelligent Systems" , "http://acad.io/schema#Lecture" ,
 "Intelligent Systems" , "http://acad.io/data#COMP474-LEC1" ,
 "Intelligent Systems" , "http://acad.io/data#COMP474-LEC3" ,
 "Intelligent Systems" , "http://localhost:3030/acad/COURSES/COMP474/Outline/course_outline_comp474_6741_w2021.pdf" ,
 "Intelligent Systems" , "http://acad.io/data#COMP474-LEC4" ,
 "Intelligent Systems" , "http://acad.io/data#COMP474-LEC6" ,
 "Intelligent Systems" , "http://acad.io/data#COMP474-LEC9" ,
 "Intelligent Systems" , "http://acad.io/data#COMP474-LEC5" ,
 "Intelligent Systems" , "http://acad.io/schema#Lab" ,
 "Intelligent Systems" , "http://acad.io/data#COMP474-LEC2" ,
