Key,Faculty,Department,Program,Level,Degree,Course code,Course number,Title,Description,Metadata,Type,Website
FFA_1,FFA,Any department,Any program,Any level,Any degree,,,Workshops for Fine Arts students,Workshop,Workshops,Course-integrated,https://www.concordia.ca/finearts/facilities/studio-support/core-technical-centres
FFA_134,FFA,Music,Jazz Performance,Undergraduate,Bachelor,JPER,341,Jazz Vocal Repertoire I,Public performance,Artistic performances,Course-integrated,
FFA_139,FFA,Music,Jazz Performance,Undergraduate,Bachelor,JPER,441,Jazz Vocal Repertoire II,Public performance,Artistic performances,Course-integrated,
FFA_142,FFA,Music,Music Performance,Undergraduate,Bachelor,MPER,231,Choir I,Choir,Artistic performances,Course-integrated,
FFA_144,FFA,Music,Music Performance,Undergraduate,Bachelor,MPER,321,Chamber Ensemble I,Public performance,Artistic performances,Course-integrated,
FFA_145,FFA,Music,Music Performance,Undergraduate,Bachelor,MPER,322,Chamber Ensemble II,Public performance,Artistic performances,Course-integrated,
FFA_148,FFA,Music,Music Performance,Undergraduate,Bachelor,MPER,332,Choir II,Choir,Artistic performances,Course-integrated,
FFA_151,FFA,Music,Music Performance,Undergraduate,Bachelor,MPER,421,Chamber Ensemble III,Public performance,Artistic performances,Course-integrated,
FFA_152,FFA,Music,Music Performance,Undergraduate,Bachelor,MPER,422,Chamber Ensemble IV,Public performance,Artistic performances,Course-integrated,
FFA_174,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,ARTX,280,Integrated Studio in Contemporary Art Practices I,Studio course,,Course-integrated,
FFA_175,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,ARTX,380,Intermediate Integrated Studio in Contemporary Art Practices,Studio course,,Course-integrated,
FFA_176,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,ARTX,398,Special Topics in Contemporary Studio Arts Practice,Studio course,,Course-integrated,
FFA_177,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,ARTX,399,Special Topics in Contemporary Studio Arts Practice,Studio course,,Course-integrated,
FFA_178,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,ARTX,480,Advanced Integrated Studio in Contemporary Art Practices,Studio course,,Course-integrated,
FFA_416,FFA,Any department,Any program,Any level,Any degree,,,"Milieux Institute for Arts, Culture and Technology",Research centre,Research centres,Research-based,https://www.concordia.ca/finearts/research/centres.html
FFA_417,FFA,Any department,Any program,Any level,Any degree,,,Centre for the Arts in Human Development (CAHD),"Provides internships for students in Art Therapy, Drama Therapy, Music Therapy and Education MA programs",Research centres,Research-based,https://www.concordia.ca/finearts/research/centres.html
FFA_418,FFA,Any department,Any program,Any level,Any degree,,,Gail and Stephen A. Jarislowsky Institute for Studies in Canadian Art,Research centre,Research centres,Research-based,https://www.concordia.ca/finearts/research/centres.html
FFA_419,FFA,Any department,Any program,Any level,Any degree,,,Hexagram-Concordia,Research centre,Research centres,Research-based,http://tag.hexagram.ca/
FFA_420,FFA,Any department,Any program,Any level,Any degree,,,"Technology, Art and Games (TAG)",Research centre,Research centres,Research-based,http://tag.hexagram.ca/
FFA_422,FFA,Any department,Any program,Any level,Any degree,,,Fine arts facilities and services,"Facilities and services (ex. workshops, studios, performance space)",Research Labs & facilities,Research-based,https://www.concordia.ca/finearts/about/jobs.html
FFA_425,FFA,Art History,Any program,Any level,Any degree,,,The Concordia Undergraduate Journal of Art History (CUJAH),Peer-Edited academic journal that aims to showcase the talents of Concordia’s Fine Arts students,Undergraduate Research projects,Research-based,
FFA_426,FFA,Contemporary Dance,Any program,Any level,Any degree,,,The Topological Media Lab,Trans-Disciplinary atelier-laboratory for collaborative research creation,Research Labs & facilities,Research-based,http://topologicalmedialab.net/
FFA_430,FFA,Creative Arts Therapies,Any program,Any level,Any degree,,,Art Hives Research assistantship,Research assistantship,Research assistantships,Research-based,http://www.arthives.org/
FFA_431,FFA,Creative Arts Therapies,Any program,Any level,Any degree,,,Art Hives Engaged Scholars,Research,Research,Research-based,http://www.arthives.org/
FFA_432,FFA,Design and Computation Arts,Any program,Any level,Any degree,,,Institute for Urban Futures - CoLLaboratoire,Design competition,Major Research projects,Research-based,http://www.ideas-be.ca/collaboratoire.html
FFA_433,FFA,Design and Computation Arts,Any program,Any level,Any degree,,,Obx Labs,Provide both the inspiration and the means for others to push the boundaries of computationally-based expression.,Research Labs & facilities,Research-based,http://www.obxlabs.net/
FFA_434,FFA,Design and Computation Arts,Any program,Any level,Any degree,,,XS Labs,Design research studio with a focus on innovation in the fields of electronic textiles and reactive garments,Research Labs & facilities,Research-based,http://xslabs.net/
FFA_444,FFA,Mel Hoppenheim School of Cinema,Any program,Any level,Any degree,,,GEM lab (Global Emergent Media),Research platform centered on the critical study of global new media,Research Labs & facilities,Research-based,
FFA_450,FFA,Mel Hoppenheim School of Cinema,Any program,Undergraduate,Bachelor,,,SYNOPTIQUE,"Student-Run journal, Film Studies",Undergraduate Research projects,Research-based,
FFA_451,FFA,Mel Hoppenheim School of Cinema,Any program,Any level,Any degree,,,senselab,"International network of artists and academics, writers and makers, from a wide diversity of fields, working together at the crossroads of philosophy, art, and activism",Research Labs & facilities,Research-based,http://senselab.ca/wp2/
FFA_452,FFA,Studio Arts,Any program,Any level,Any degree,,,senselab,"International network of artists and academics, writers and makers, from a wide diversity of fields, working together at the crossroads of philosophy, art, and activism",Research Labs & facilities,Research-based,http://senselab.ca/wp2/
FFA_453,FFA,Music,Any program,Any level,Any degree,,,matralab,Research space of inter-x art directed by Sandeep Bhagwati at Concordia University in Montréal,Research Labs & facilities,Research-based,http://matralab.hexagram.ca/
FFA_454,FFA,Theatre,Any program,Any level,Any degree,,,matralab,Research space of inter-x art directed by Sandeep Bhagwati at Concordia University in Montréal,Research Labs & facilities,Research-based,http://matralab.hexagram.ca/
FFA_456,FFA,Theatre,"Theatre, Oral History",Any level,Any degree,,,Performing Listening Lab,Research lab or facility,Research Labs & facilities,Research-based,
FFA_457,FFA,Theatre,Any program,Any level,Any degree,,,Institute for Urban Futures,Research lab or facility,Research Labs & facilities,Research-based,https://www.concordia.ca/finearts/research/urban-futures.html
FFA_458,FFA,Any department,Any program,Any level,Any degree,,,Next City Vanguard Montreal,Design competition,Competitions,Community-based,
FFA_462,FFA,Art History,Any program,Any level,Any degree,,,The Right to the City,45 students have also worked as artists-in-residence in more than 10 community organizations,Service learning,Community-based,https://www.concordia.ca/finearts/research/urban-futures/Urbanlabs/right-city.html
FFA_468,FFA,Creative Arts Therapies,Music Therapy,Undergraduate,Bachelor,,,PERFORM Centre Internship,Internship,Internships,Community-based,
FFA_475,FFA,Mel Hoppenheim School of Cinema,Film Studies,Undergraduate,Bachelor,,,Field trip to Italy,Field trip to Italy sponsored by GemLab,Field schools,International,
FFA_476,FFA,Music,Any program,Undergraduate,Bachelor,,,Fine Arts in Colombia,"Self-Proposed research-creation projects and experience the city of Manizales, Colombia",Field schools,International,
FFA_477,FFA,Studio Arts,Painting and Drawing,Undergraduate,Bachelor,DRAW,200,Drawing In Italy,International,Courses,International,
FFA_478,FFA,Theatre,Performance Creation,Undergraduate,Bachelor,PERC,209,The Engaged Theatre Artist,Studio course,Courses,International,
FFA_479,FFA,Theatre,Performance Creation,Undergraduate,Bachelor,PERC,210,The Audience and the Performance Event,Studio course,Courses,International,
FFA_480,FFA,Theatre,Any program,Undergraduate,Bachelor,,,Concordia Theatre Students in Germany,Summer exchange program in Germany,Field schools,International,https://www.concordia.ca/research/jarislowsky.html
FFA_481,FFA,Art History,Any program,Any level,Any degree,,,"Spring School 2017 - Sites of Photographic Knowledge: The Book, the Laboratory, the Territory","24 students - 5 days, 2 cities - A research team - Guest theorists and artists, visits to studios, exhibitions, and research centres",Field schools,International,http://www.arthives.org/
FFA_482,FFA,Creative Arts Therapies,Any program,Any level,Any degree,,,Art Hives & Mitacs,Service learning,Service learning,International,https://www.facebook.com/ArtopiaConcordia/
FFA_483,FFA,Any department,Any program,Any level,Any degree,,,Artopia,Explore the possibilities of art materials and techniques,Student associations & clubs,Student life,http://fasaconcordia.com/
FFA_484,FFA,Any department,Any program,Undergraduate,Bachelor,,,Fine Arts Student Alliance (FASA),"Umbrella organization for all fine art clubs and student run galleries such as Art Matters, Café X, the Fine Arts Reading Room and the VAV Gallery",Student associations & clubs,Student life,https://yiaramagazine.com/about/
FFA_485,FFA,Any department,Any program,Undergraduate,Bachelor,,,Yiara,"Annual print magazine, organize an exhibition of the featured artworks",Student associations & clubs,Student life,http://vavgallery.concordia.ca/
FFA_486,FFA,Any department,Any program,Undergraduate,Bachelor,,,VAV Gallery,"Student-Run exhibition space to host special events and projects throughout the year like workshops, lectures, panel discussions, the Art Matters festival and the Annual Graduating Students’ Exhibition.",Student associations & clubs,Student life,http://artmattersfestival.org/main/index.html
FFA_487,FFA,Any department,Any program,Any level,Any degree,,,Art Matters Festival,Non-Profit festival that celebrates and supports the developing talent housed at Concordia University,Other,Student life,https://www.concordia.ca/finearts/art-history/research/vitrine.html
FFA_488,FFA,Art History,Any program,Any level,Any degree,,,Ethnocultural Art Histories Research group (EAHR),Student-Driven research community,Student associations & clubs,Student life,http://ahgsa.concordia.ca/
FFA_489,FFA,Art History,Any program,Graduate,Master,,,Art History Graduate Student Association (AHGSA),Organising annual graduate student conference,Student associations & clubs,Student life,http://www.iargconcordia.com/
FFA_490,FFA,Art History,Any program,Any level,Any degree,,,Indigenous Art Research Group,Space for exploration for both Indigenous and non-Indigenous experiences,Student associations & clubs,Student life,http://architectureconcordia.org/mandate
FFA_491,FFA,Art History,Any program,Any level,Any degree,,,Architecture ∣ Concordia,"Research group, produce publications, events, and opportunities for different kinds of engagements",Student associations & clubs,Student life,https://www.concordia.ca/finearts/creative-arts-therapies/student-life/associations.html
FFA_492,FFA,Creative Arts Therapies,Any program,Graduate,Master,,,Creative Arts Therapies Student Graduate Association (CATSGA),"Foster stronger interdisciplinary ties with the university community, space for relaxation and study",Student associations & clubs,Student life,https://www.concordia.ca/finearts/creative-arts-therapies/research/ahrc.html
FFA_493,FFA,Creative Arts Therapies,Any program,Any level,Any degree,,,Arts in Health Research Collective (AHRC),Creative arts therapies researchers,Student associations & clubs,Student life,https://csu.qc.ca/clubs/cgd
FFA_494,FFA,Design and Computation Arts,Any program,Any level,Any degree,,,Concordia Game Development (CGD),Connect and share ideas about game development,Student associations & clubs,Student life,
FFA_495,FFA,Design and Computation Arts,Any program,Graduate,Master,,,Master of Design Student Association,Student associations & clubs,Student associations & clubs,Student life,https://csu.qc.ca/clubs/cfu
FFA_496,FFA,Mel Hoppenheim School of Cinema,Any program,Any level,Any degree,,,Concordia Film Union,Art of film and video making,Student associations & clubs,Student life,
FFA_497,FFA,Mel Hoppenheim School of Cinema,Any program,Graduate,Master,,,Concordia Graduate Film Studies Student Association,Student associations & clubs,Student associations & clubs,Student life,http://blog.animateconcordia.ca/
FFA_498,FFA,Mel Hoppenheim School of Cinema,Any program,Any level,Any degree,,,Animate Concordia,Bring news about club events and showcase all works from the Mel Hoppenheim School of Cinema’s Film Animation Program,Student associations & clubs,Student life,https://www.facebook.com/groups/261758137278964/
